day,avg_price,menu_item_count,baker_count,cashier_count,manager_count,baker_tier_max,avg_emp_pay,ad_slots_won,oven_tier,register_tier,fridge_tier,espresso_tier,competitor_count,store_design,revenue
6,8.92,7,1,3,2,3,23.55,0,1,1,3,1,21,cozy,4754.68
7,10.59,12,4,1,1,1,15.84,2,1,2,1,3,11,modern,7050.63
8,11.78,5,1,1,0,2,15.5,5,2,2,3,3,29,classic,4940.73
9,5.77,4,3,0,1,1,18.99,3,2,2,1,1,4,cozy,5795.61
10,10.85,7,2,4,1,3,34.62,4,2,1,1,2,9,industrial,7691.58
11,3.83,12,3,2,2,2,23.73,4,1,2,3,1,12,industrial,7738.41
12,6.6,4,2,4,1,3,31.96,5,2,3,2,3,17,cozy,7696.65
13,6.92,7,4,1,0,2,28.3,3,3,3,1,3,22,industrial,6080.35
14,6.08,6,3,4,2,3,21.44,3,2,3,1,3,19,modern,7699.02
15,9.1,7,4,4,1,1,31.37,6,1,3,2,1,29,cozy,6509.42
16,11.86,12,0,3,1,3,26.51,5,3,2,2,2,11,cozy,8814.71
17,9.08,3,0,3,0,1,31.08,5,3,2,1,3,11,cozy,6517.38
18,10.31,11,4,4,1,2,27.25,5,3,2,3,2,9,cozy,9712.16
19,7.33,6,2,4,1,3,19.78,3,1,3,2,1,12,classic,6228.57
20,4.68,6,3,1,2,1,16.28,3,2,3,2,2,5,modern,7567.05
1,10.58,9,4,0,2,2,24.54,2,2,2,2,3,27,cozy,6117.95
2,7.65,7,3,3,0,2,21.72,5,2,3,1,2,8,cozy,7414.46
3,11.21,12,4,0,0,3,23.57,6,2,1,1,2,16,modern,8365.23
4,9.97,9,2,3,1,1,24.41,5,3,1,2,1,24,industrial,6522.2
5,10.14,3,0,1,0,1,27.43,1,1,2,3,1,22,modern,2961.86
6,10.02,5,4,4,2,3,17.29,6,1,2,1,3,4,industrial,9776.61
7,8.39,9,3,1,0,3,28.81,5,1,1,3,2,25,industrial,6226.43
8,6.45,9,2,0,2,3,21.82,6,2,2,1,2,15,modern,7707.65
9,9.51,9,1,4,2,2,27.32,4,2,2,2,3,22,classic,6788.66
10,5.87,10,1,3,2,3,28.36,2,1,2,2,1,19,modern,6484.25
11,6.52,7,2,2,2,3,32.6,4,1,3,1,1,11,cozy,7132.12
12,9.37,10,3,0,0,2,19.43,5,1,2,3,3,15,cozy,7098.24
13,8.2,8,3,4,1,2,29.06,2,2,2,1,1,27,classic,5176.65
14,5.13,10,2,4,2,3,20.66,0,1,2,1,2,9,cozy,6843.49
15,3.62,11,1,2,0,1,26.07,5,1,3,2,1,4,industrial,6472.49
16,6.4,3,2,3,0,1,23.01,0,3,3,3,1,8,classic,4488.6
17,10.39,7,0,1,0,3,30.29,4,3,3,1,3,16,cozy,6397.34
18,6.1,12,0,4,2,1,33.95,1,3,1,2,3,6,classic,6895.4
19,5.54,11,0,1,0,2,24.01,4,2,2,1,1,13,cozy,5703.41
20,4.11,6,2,4,2,1,23.5,4,1,3,1,2,30,classic,4116.11
1,4.11,5,2,4,2,3,33.42,3,1,2,3,2,26,cozy,5391.21
2,7.22,12,0,3,2,2,27.07,0,1,1,3,3,22,classic,4962.86
3,12.0,7,4,0,0,2,25.38,3,2,1,3,2,24,modern,6148.14
4,6.46,8,2,0,0,2,23.23,3,2,3,2,3,5,classic,6047.31
5,4.25,7,2,0,1,3,31.5,0,3,3,2,2,5,classic,6199.73
6,8.82,3,1,2,2,1,33.55,3,3,2,1,1,24,classic,4536.6
7,9.53,7,4,0,2,2,16.86,6,1,2,1,3,30,cozy,7161.71
8,7.83,7,3,3,1,1,24.14,1,2,1,3,3,27,industrial,5313.46
9,10.84,7,3,2,2,2,31.41,2,3,2,3,3,25,cozy,6294.83
10,6.43,11,4,3,1,2,32.39,5,1,3,2,1,28,classic,6557.77
11,3.87,10,3,3,2,3,34.62,3,1,1,3,3,14,classic,8008.13
12,4.35,10,0,1,1,3,34.4,0,2,2,2,3,26,classic,3451.25
13,9.02,8,4,3,1,3,29.37,6,2,3,1,3,6,classic,9980.35
14,11.98,4,3,0,2,3,32.45,3,1,3,2,1,5,industrial,7860.84
15,10.27,7,2,2,1,1,19.88,3,3,3,1,1,9,industrial,7176.47
16,7.73,12,1,1,1,3,20.08,2,3,1,2,2,25,cozy,6085.31
17,4.13,8,4,2,2,2,28.81,3,2,1,2,2,7,cozy,7774.52
18,11.94,7,0,3,1,1,26.32,5,3,1,3,3,19,industrial,7011.73
19,10.09,6,4,2,0,3,18.8,2,3,3,3,3,30,industrial,6064.81
20,6.13,10,0,4,1,3,17.63,2,2,3,2,1,10,modern,6742.65
1,10.19,8,4,4,1,1,20.14,6,2,2,3,2,29,cozy,7860.62
2,9.91,6,3,4,1,1,30.81,0,2,3,1,2,15,cozy,6167.61
3,8.47,8,0,1,1,1,27.39,4,2,3,1,3,6,industrial,6461.4
4,9.02,4,1,0,0,2,34.92,0,1,1,3,1,16,industrial,2885.58
5,6.65,11,3,4,2,3,18.09,3,3,1,2,3,17,classic,8415.82
6,5.35,10,1,2,0,3,22.35,5,2,1,2,2,10,industrial,7249.04
7,11.57,10,0,1,2,3,26.94,0,1,2,1,1,29,modern,3685.69
8,8.48,6,2,1,2,1,20.55,1,1,3,2,1,7,cozy,5490.7
9,4.62,8,1,4,1,1,18.48,0,1,3,2,3,7,modern,5550.12
10,7.86,4,3,4,0,3,15.87,6,3,3,2,2,24,industrial,6848.76
11,4.02,10,3,3,2,1,24.81,3,1,1,2,3,8,modern,7583.49
12,6.74,12,4,2,1,3,27.11,0,3,1,3,3,28,industrial,6094.28
13,7.16,6,3,2,1,2,23.32,0,2,2,2,3,12,cozy,5768.76
14,4.07,4,0,3,0,3,29.78,6,1,3,1,3,21,classic,5887.62
15,9.2,9,2,3,2,1,34.37,4,2,2,1,3,20,industrial,6862.6
16,10.7,8,4,2,0,2,26.48,6,2,3,3,3,25,cozy,8310.03
17,8.68,7,0,1,1,3,30.25,2,2,1,1,1,22,modern,4359.16
18,4.28,11,1,3,1,2,21.82,2,2,3,2,3,23,modern,5557.04
19,11.01,5,1,4,0,3,16.63,3,3,2,2,3,18,modern,6486.49
20,6.43,4,2,4,1,3,28.34,0,1,2,3,1,4,modern,6132.79
1,6.06,6,1,2,1,2,17.4,3,3,2,1,1,16,cozy,5268.59
2,4.11,3,3,0,1,1,32.24,4,2,3,2,3,24,industrial,4765.92
3,5.96,9,0,2,0,3,24.2,5,2,1,2,1,11,classic,6189.65
4,6.86,7,2,1,1,1,16.53,5,1,3,3,1,28,modern,4962.07
5,6.48,5,1,0,0,2,18.95,4,1,3,1,1,28,industrial,3243.7
6,9.29,12,4,2,2,2,18.02,0,2,2,3,2,29,classic,5195.64
7,8.53,8,4,0,1,2,24.04,0,2,2,1,3,6,industrial,6276.06
8,8.43,3,3,4,2,1,21.43,3,3,1,1,2,7,classic,6674.8
9,11.85,4,4,1,0,1,29.15,3,3,3,3,1,15,industrial,5895.63
10,10.08,12,0,2,0,2,16.89,5,2,2,2,3,25,classic,6416.74
11,6.33,12,1,2,1,3,28.97,3,1,3,3,1,13,cozy,6446.57
12,10.41,11,0,3,2,2,15.36,2,1,1,2,2,10,industrial,6320.62
13,12.0,5,0,2,0,3,30.42,6,3,3,1,3,14,cozy,8091.11
14,4.81,5,4,1,2,2,15.87,2,3,3,1,2,23,classic,5102.07
15,9.9,10,1,4,0,2,34.31,6,2,1,2,3,22,industrial,7620.92
16,10.11,11,4,3,0,1,31.03,1,2,1,3,2,15,industrial,6292.18
17,9.55,11,0,2,0,1,20.46,4,1,2,1,1,30,modern,3719.13
18,7.03,9,4,2,0,2,34.89,2,1,1,2,1,30,modern,4558.48
19,10.23,5,0,2,1,3,31.62,6,3,2,2,3,4,industrial,8673.38
20,10.6,11,4,4,1,1,30.52,1,2,1,1,1,17,cozy,6282.7
1,4.03,10,4,4,0,3,25.31,1,3,1,2,2,4,classic,7603.14
2,5.09,4,4,2,0,3,25.88,6,3,3,1,2,19,classic,7142.76
3,8.9,8,2,0,1,1,21.9,5,3,3,1,3,27,modern,5928.78
4,8.14,5,3,3,2,1,31.23,0,3,2,1,2,10,industrial,5610.98
5,10.22,3,2,2,2,2,34.78,4,2,2,1,3,10,modern,7104.57
6,10.86,8,2,0,1,2,32.79,5,2,2,2,1,19,modern,7126.02
7,6.62,11,2,0,2,2,16.58,4,1,3,2,2,7,classic,7958.52
8,7.29,9,1,3,1,2,15.85,6,2,3,2,2,24,industrial,6936.36
9,4.14,9,2,4,2,3,18.2,0,1,3,3,2,5,modern,7239.84
10,6.58,12,0,4,0,3,24.0,2,2,2,1,3,8,industrial,7325.49
11,6.88,7,1,0,0,3,18.72,4,2,3,1,2,28,industrial,4733.91
12,9.4,10,1,0,0,1,24.04,5,2,1,3,2,25,industrial,5567.02
13,9.53,11,4,2,1,1,29.24,5,3,1,2,3,11,industrial,8857.21
14,5.51,10,0,2,2,3,22.38,6,3,1,3,1,6,cozy,8700.59
15,6.88,10,4,3,1,3,16.48,2,3,1,2,2,25,industrial,6367.11
16,10.03,5,3,4,0,1,25.36,2,1,1,2,3,11,cozy,6183.23
17,11.55,11,2,0,1,1,27.7,4,2,1,3,2,23,industrial,5502.1
18,8.53,12,1,1,2,3,29.41,4,2,3,1,1,6,cozy,8201.62
19,11.56,12,2,1,2,2,27.36,0,2,3,3,2,24,modern,5999.03
20,6.03,4,0,1,1,2,24.69,1,2,3,1,2,26,classic,2868.85
1,9.74,8,3,1,1,3,26.23,2,1,2,1,2,18,industrial,6067.18
2,11.54,12,3,1,0,2,33.68,5,2,1,1,2,20,industrial,7349.46
3,7.74,7,3,0,0,2,25.11,1,1,3,2,1,5,classic,5535.67
4,5.93,3,0,3,0,2,29.55,6,2,2,1,2,5,classic,7175.31
5,6.58,7,0,3,2,2,30.29,2,3,3,3,1,8,cozy,6869.79
6,8.24,8,1,1,2,3,23.03,0,1,1,1,3,14,industrial,5277.24
7,7.91,5,4,4,0,2,33.63,2,1,2,3,3,30,classic,4856.39
8,9.52,7,3,0,1,2,28.48,3,3,2,3,3,24,classic,6312.37
9,8.57,7,4,4,0,3,16.03,3,1,3,3,3,23,modern,7035.02
10,3.77,4,1,0,1,2,23.38,3,3,1,2,3,28,cozy,3744.28
11,10.92,3,1,4,0,3,21.5,5,2,3,2,2,9,classic,7063.71
12,9.24,7,4,3,0,1,20.58,2,1,2,2,3,10,industrial,6710.76
13,6.19,8,4,2,1,1,26.47,4,2,2,2,1,13,classic,7511.12
14,6.44,10,2,3,0,1,31.56,2,3,3,2,1,7,modern,6807.18
15,5.56,11,1,1,0,1,23.27,5,2,1,3,1,4,cozy,7997.06
16,6.96,10,3,1,1,2,20.71,0,1,3,3,1,21,cozy,4610.19
17,11.26,5,3,1,0,2,30.76,1,3,2,1,1,13,modern,5345.68
18,5.92,11,4,3,0,3,24.36,1,1,2,1,3,18,industrial,6407.98
19,9.61,3,2,2,2,3,30.15,1,3,3,2,2,20,industrial,5434.52
20,5.07,5,3,2,0,1,20.22,1,2,2,2,2,22,modern,4309.97
1,5.72,8,1,0,2,1,24.31,1,2,3,3,3,28,modern,3854.56
2,6.62,6,1,1,1,1,24.1,4,2,2,3,3,19,industrial,5583.33
3,9.98,12,0,4,1,3,29.08,0,3,1,1,3,20,cozy,6209.19
4,6.29,11,3,0,2,1,29.34,3,1,3,2,1,18,cozy,6342.13
5,7.86,10,4,0,2,2,28.46,2,3,1,2,2,30,cozy,5894.67
6,3.88,8,0,4,0,1,34.72,3,1,2,2,1,28,modern,3416.95
7,10.01,9,2,3,1,2,22.51,5,3,3,1,3,15,cozy,9124.79
8,8.0,6,0,0,1,2,28.47,4,2,3,2,1,11,classic,6372.44
9,6.44,7,1,0,0,3,23.38,6,1,1,1,1,7,classic,6348.25
10,5.58,3,3,3,0,3,19.35,6,1,1,3,2,11,modern,7222.27
11,8.41,8,1,2,0,3,25.43,3,2,2,1,3,22,industrial,6311.63
12,8.22,3,2,3,2,2,28.93,3,1,2,2,1,28,classic,3782.05
13,5.55,6,2,1,1,1,26.25,3,3,3,1,2,11,classic,5864.16
14,11.34,8,0,4,2,1,16.03,3,3,3,3,1,6,modern,7625.99
15,10.34,12,4,1,1,1,32.39,2,2,1,1,1,27,cozy,6352.87
16,11.27,12,1,3,0,3,21.43,2,2,2,3,3,15,classic,8058.11
17,5.72,11,3,3,0,3,24.39,6,2,1,2,2,17,industrial,8735.7
18,3.64,11,4,4,2,2,20.9,1,2,1,2,3,30,cozy,5995.12
19,7.74,8,2,3,2,3,29.79,3,1,3,2,1,8,cozy,7546.39
20,7.95,4,0,0,1,1,31.85,1,1,3,1,1,10,modern,3314.94
1,6.67,12,4,3,2,2,15.31,4,3,2,1,1,20,classic,7509.14
2,3.65,9,1,0,0,3,17.98,1,3,3,2,2,12,industrial,5045.64
3,4.17,9,3,4,0,3,19.52,5,1,3,3,1,6,classic,7957.55
4,3.98,3,1,0,1,2,27.9,2,3,1,3,1,11,classic,4704.47
5,11.16,12,3,2,0,1,28.69,2,3,3,3,1,9,cozy,7639.43
6,8.49,9,0,2,0,3,19.81,6,2,3,3,2,16,cozy,7325.68
7,10.22,4,4,2,0,1,23.74,6,1,2,3,3,23,cozy,6145.86
8,8.89,10,3,1,1,3,33.82,3,1,3,3,3,16,modern,7891.13
9,10.06,7,1,0,0,2,18.08,5,3,1,3,2,14,modern,6499.38
10,7.28,7,0,1,0,1,23.62,4,3,3,2,1,4,industrial,6289.04
11,6.51,4,4,4,1,2,15.25,3,2,1,3,3,11,modern,7183.87
12,4.94,7,2,2,1,1,16.27,3,2,2,2,2,29,classic,4050.97
13,6.57,6,3,4,2,1,24.16,1,2,1,2,2,30,modern,3811.79
14,7.24,9,4,1,1,2,27.06,5,1,2,2,1,16,industrial,6610.95
15,5.98,10,4,1,1,2,20.61,6,2,2,1,3,10,industrial,8357.55
16,11.6,10,1,3,1,3,16.38,6,2,3,2,1,24,modern,7174.75
17,5.56,5,3,3,0,2,34.81,3,3,2,3,3,26,industrial,5471.81
18,9.46,11,4,0,0,1,28.15,2,1,3,3,1,22,industrial,5211.81
19,11.72,8,3,0,0,1,20.17,4,3,3,3,3,26,classic,5623.95
20,7.44,12,4,1,1,1,24.66,2,2,1,1,3,8,classic,7043.65
1,6.15,10,1,4,1,2,24.52,3,3,3,2,2,6,industrial,7538.71
2,3.69,8,0,1,2,1,25.32,4,1,2,3,2,18,modern,5665.73
3,10.28,5,1,3,1,1,29.75,1,2,3,2,2,4,cozy,6090.69
4,8.41,11,1,2,1,1,24.15,2,3,2,3,3,14,modern,6270.28
5,8.7,12,0,2,1,2,27.35,6,3,3,2,3,22,classic,7560.44
6,5.53,4,1,2,2,1,25.22,3,3,1,3,2,17,modern,5325.74
7,7.64,11,1,4,0,2,20.78,1,2,2,3,1,15,cozy,6116.48
8,10.43,11,4,3,1,3,24.83,5,2,2,1,1,22,cozy,7981.16
9,10.26,6,2,0,1,1,25.75,1,2,3,3,2,21,modern,4018.08
10,10.09,8,4,0,2,2,25.93,3,1,3,3,1,13,industrial,6928.36
11,7.32,8,0,3,0,1,19.2,5,3,3,2,3,23,modern,5750.11
12,10.17,6,0,4,1,3,20.62,4,1,2,3,2,13,cozy,6810.36
13,11.6,11,0,1,1,1,34.85,6,3,1,3,1,11,industrial,7510.97
14,9.97,9,3,1,2,3,20.37,3,2,2,1,3,29,cozy,6734.44
15,6.92,7,2,3,1,2,26.64,6,3,1,3,2,24,modern,6726.83
16,10.26,9,1,3,0,2,20.37,6,2,2,3,3,8,modern,8265.94
17,10.2,3,0,0,2,2,15.33,6,1,2,2,1,17,classic,5617.38
18,11.0,7,1,2,0,3,22.21,0,2,3,3,1,5,cozy,6710.79
19,8.82,6,3,0,2,1,15.02,3,1,1,3,1,20,classic,4836.37
20,10.45,9,1,3,0,1,22.66,5,1,1,2,2,13,industrial,6440.78
1,6.75,5,1,0,2,3,15.17,5,1,2,2,3,10,cozy,7102.03
2,8.74,10,1,0,0,1,30.05,4,3,2,2,2,14,classic,5872.47
3,5.61,4,1,4,2,3,29.42,2,3,1,3,2,10,cozy,6364.63
4,6.01,3,1,3,1,1,19.82,5,3,1,3,1,15,classic,5515.03
5,4.62,12,3,2,2,3,18.46,3,1,1,3,1,4,industrial,8098.3
6,11.56,9,4,2,2,3,25.02,3,2,3,2,1,24,modern,7287.13
7,5.86,7,0,4,0,1,25.73,3,3,3,3,3,24,cozy,5620.43
8,3.99,4,3,0,1,3,27.18,2,3,3,3,3,9,cozy,7131.86
9,3.61,5,0,1,1,2,25.46,6,3,2,1,2,8,modern,6791.68
10,10.06,3,2,3,1,3,16.28,5,3,3,1,2,18,modern,6532.74
11,3.97,12,1,2,0,2,30.47,4,3,3,1,1,27,industrial,5132.41
12,5.58,10,2,3,0,1,33.62,6,1,3,3,3,24,modern,6578.99
13,5.41,6,3,2,1,1,26.43,0,3,3,1,1,11,classic,5273.27
14,4.09,10,2,2,1,1,26.06,0,2,1,2,3,29,classic,2598.46
15,9.79,6,3,2,2,2,34.96,6,1,3,3,1,8,industrial,8684.35
16,8.1,3,2,0,2,2,31.98,5,2,1,1,3,11,cozy,6965.47
17,7.68,3,1,2,0,1,33.43,6,3,2,3,2,18,classic,5928.53
18,7.8,9,0,4,2,1,23.7,1,1,2,2,2,29,modern,3787.19
19,9.46,8,2,3,1,1,16.49,1,1,3,1,1,7,classic,5889.69
20,4.53,8,1,3,1,2,20.3,0,1,1,3,2,30,classic,3358.29
1,5.33,8,1,0,2,1,34.37,3,3,1,3,2,12,modern,5997.13
2,10.76,11,4,1,0,2,17.04,6,1,1,1,1,30,classic,5929.59
3,4.61,9,2,0,2,3,20.18,6,1,1,1,1,24,cozy,6055.87
4,4.54,10,0,1,2,2,31.43,3,2,1,2,3,17,industrial,5831.43
5,6.51,5,2,2,1,1,15.69,4,3,1,3,2,19,cozy,5379.84
6,4.25,9,1,3,0,3,32.69,4,1,3,3,1,16,modern,6502.62
7,7.58,10,2,4,2,2,22.77,1,1,2,3,1,4,industrial,7557.27
8,10.37,10,4,2,2,1,34.48,0,1,3,1,2,21,modern,5148.34
9,9.99,6,4,3,1,1,18.52,4,2,3,3,2,22,modern,7197.51
10,8.29,6,3,4,1,1,24.81,0,1,1,3,1,4,cozy,5985.13
11,3.51,12,1,1,1,3,18.55,6,2,1,1,1,22,classic,6307.41
12,10.7,8,0,2,2,3,22.91,0,2,2,2,1,9,modern,5670.07
13,10.23,10,2,1,2,3,28.87,4,2,1,3,3,30,classic,6606.96
14,4.58,3,4,3,2,1,18.64,2,3,1,3,3,7,industrial,7165.13
15,4.7,4,1,2,1,1,27.72,0,3,3,3,3,14,classic,4159.92
16,9.39,8,2,0,2,1,15.96,3,3,2,1,2,19,cozy,5972.3
17,6.49,9,0,3,2,3,30.16,1,1,2,1,1,13,classic,5621.07
18,4.13,5,3,1,2,1,25.94,0,2,3,3,2,26,modern,3752.0
19,7.17,5,4,3,0,1,17.03,1,1,2,3,3,27,modern,4714.52
20,6.03,4,0,3,2,3,31.8,1,1,2,1,2,6,industrial,5423.14
1,10.5,12,3,1,0,1,19.14,5,2,1,2,1,13,industrial,7227.81
2,4.27,11,3,1,1,2,22.39,3,1,2,2,2,12,industrial,6257.75
3,10.62,12,0,1,2,3,16.93,5,2,3,2,3,11,cozy,8044.9
4,11.71,10,4,1,1,2,16.58,6,3,1,3,3,20,classic,8273.46
5,4.52,10,1,1,0,1,17.52,3,1,3,2,1,30,cozy,3033.24
6,6.22,4,0,3,2,2,26.04,6,2,3,2,1,29,industrial,4624.95
7,4.46,5,1,4,2,3,30.17,0,1,3,1,2,21,classic,4902.06
8,6.76,10,4,4,1,1,18.44,3,1,3,3,3,26,industrial,5826.89
9,3.83,8,1,0,2,2,33.42,2,1,2,2,2,12,classic,5586.79
10,11.77,6,1,2,2,2,30.48,2,2,3,2,3,24,modern,5027.91
11,5.1,6,3,3,2,2,31.42,4,1,1,2,3,20,modern,6019.42
12,4.98,6,0,1,0,2,16.01,2,3,1,2,2,30,modern,3479.83
13,7.79,4,0,1,1,2,26.88,1,2,3,3,2,15,classic,4739.34
14,5.92,9,0,1,2,1,32.14,5,1,3,1,2,24,modern,5786.42
15,7.86,3,3,1,2,1,27.02,0,1,2,3,2,26,classic,3738.17
16,11.11,8,3,2,0,2,21.04,4,3,2,3,1,4,classic,7988.92
17,8.27,12,4,2,1,3,17.16,0,2,2,3,2,12,industrial,7175.24
18,5.1,11,1,0,2,2,28.21,5,1,3,1,3,19,industrial,7119.47
19,5.71,9,3,3,2,1,26.66,4,1,2,3,3,11,industrial,7353.9
20,11.21,8,4,2,0,3,32.53,1,2,1,2,1,27,classic,4616.67
1,9.66,11,1,2,2,1,19.45,1,3,2,2,2,15,industrial,5901.75
2,7.5,12,4,4,0,2,32.79,4,1,3,2,3,13,modern,8742.96
3,3.96,5,1,1,1,2,34.74,3,1,2,3,1,28,classic,3664.19
4,6.16,3,0,3,1,1,30.22,1,3,1,2,1,8,cozy,4701.04
5,8.88,9,3,3,1,1,15.75,1,3,2,1,2,28,classic,4856.82
6,8.83,6,1,2,1,1,17.05,4,3,2,1,1,30,modern,4124.06
7,6.03,7,3,4,2,3,21.76,5,1,2,2,2,28,modern,7092.92
8,3.66,6,1,1,2,1,26.79,1,1,2,3,3,29,classic,3832.72
9,6.69,7,4,4,0,3,34.89,5,1,3,1,1,26,modern,6874.8
10,8.15,10,1,1,2,3,27.61,2,2,3,1,3,20,modern,6624.76
11,8.79,5,3,0,2,3,27.35,2,1,1,2,1,23,industrial,4946.28
12,6.54,9,2,1,0,3,24.93,1,3,2,2,1,4,cozy,7010.69
13,9.21,4,4,3,0,1,30.59,0,3,3,1,2,24,modern,4551.64
14,5.75,3,0,1,0,2,22.2,5,2,2,3,1,7,industrial,6754.04
15,3.58,5,1,2,1,2,34.1,2,3,1,2,2,9,modern,5927.86
16,5.81,9,3,3,2,1,17.26,5,3,1,1,1,17,classic,7142.01
17,10.32,10,1,4,1,2,27.23,6,3,3,1,2,19,classic,8124.53
18,4.04,8,0,4,2,3,29.48,1,3,2,3,3,26,modern,5551.2
19,7.18,6,3,2,2,3,27.83,1,3,3,1,1,24,modern,5850.98
20,10.74,5,0,3,1,1,21.62,2,1,3,1,3,24,classic,3905.33
1,6.93,6,0,3,1,3,23.96,6,2,2,2,1,19,classic,6355.2
2,7.0,11,4,0,0,3,34.26,5,2,3,3,1,24,classic,6850.42
3,11.58,8,0,1,1,2,26.2,4,3,2,3,3,15,classic,6739.86
4,3.52,8,2,4,2,2,29.04,0,1,2,1,3,27,cozy,4268.18
5,4.41,12,1,1,0,2,19.31,6,1,3,2,1,28,classic,4602.38
6,10.06,10,3,4,2,1,34.28,0,3,3,1,3,17,modern,7081.32
7,11.36,5,4,1,2,1,17.07,5,3,3,2,3,16,classic,7347.96
8,5.83,8,2,3,0,1,23.25,5,3,3,2,3,21,cozy,6906.99
9,9.55,11,1,1,0,3,29.29,5,2,3,1,3,24,industrial,7000.83
10,9.54,8,4,3,2,3,33.85,5,2,3,3,3,13,industrial,9402.81
11,10.37,11,0,0,1,1,16.06,0,1,2,1,2,25,classic,3073.0
12,5.23,11,0,2,1,1,27.32,5,3,3,1,3,24,industrial,6623.08
13,5.52,7,0,3,1,2,34.13,5,2,3,1,1,27,classic,4871.53
14,10.55,8,4,4,2,3,18.93,5,1,2,2,1,25,classic,7953.06
15,5.09,5,4,0,1,1,23.57,4,2,1,1,3,12,modern,6777.07
16,3.84,8,4,0,2,3,31.86,2,2,3,3,2,6,cozy,7827.66
17,7.97,5,4,0,2,1,23.32,4,2,1,2,1,10,industrial,6356.84
18,5.36,12,4,3,2,3,15.18,5,2,2,1,3,23,industrial,8089.46
19,11.65,8,3,0,1,2,25.8,2,1,3,2,3,29,cozy,4838.02
20,11.14,6,2,4,0,1,18.35,6,3,3,1,3,6,industrial,8547.75
1,9.2,6,3,0,0,3,31.57,5,2,3,1,3,25,cozy,6804.47
2,3.82,4,0,1,1,3,16.41,6,1,2,2,2,18,industrial,5953.5
3,7.18,3,3,0,2,1,27.83,4,1,3,3,1,26,classic,4561.03
4,5.96,7,4,0,1,2,22.63,6,3,1,2,1,21,modern,6553.79
5,4.66,9,4,2,2,1,20.96,6,3,3,2,1,21,cozy,7645.27
6,3.54,12,3,4,2,1,21.09,5,3,3,2,1,17,modern,7667.02
7,4.87,6,4,2,0,1,18.63,6,3,1,3,2,24,cozy,6151.43
8,5.63,6,4,3,1,2,17.56,5,1,1,2,3,6,modern,8221.11
9,6.2,10,2,4,2,2,28.87,1,3,3,2,2,17,cozy,6832.4
10,9.55,9,2,2,0,3,29.66,3,2,2,2,2,19,cozy,6834.75
11,4.99,12,0,2,0,3,18.93,5,3,1,3,1,4,modern,8277.93
12,10.04,6,0,4,1,3,32.88,4,2,3,1,2,16,classic,6251.66
13,11.08,12,2,1,1,3,25.21,3,2,3,1,3,11,cozy,8628.53
14,9.94,5,3,1,0,3,33.97,5,1,3,3,2,15,cozy,6783.12
15,5.36,10,1,0,1,2,19.68,5,1,3,2,2,19,modern,6704.9
16,11.84,8,0,4,2,2,31.7,2,3,3,3,1,16,modern,6106.86
17,6.61,4,4,2,1,1,25.33,2,2,2,2,3,4,classic,6605.99
18,5.45,11,2,1,0,1,18.15,4,3,1,3,1,17,cozy,5978.71
19,9.62,10,3,3,0,3,18.22,6,2,1,1,1,8,industrial,8544.75
20,11.07,5,0,1,1,1,25.33,3,3,3,3,1,27,modern,3999.11
1,11.55,6,3,4,1,2,18.41,6,2,3,1,3,30,industrial,7128.52
